       x,       x,       x,       x
       0,       0, -336989, -103581
       0,       0, -315620, -140155
       0,       0, -289126, -172393
       0,       0, -258371, -199463
       0,       0, -224394, -220747
       0,       0, -188306, -235802
       0,       0, -151285, -244436
       0,       0, -114504, -246633
       0,       0,  -79114, -242633
       0,       0,  -46215, -232863
       0,       0,  -16789, -217952
       0,       0,    8307, -198705
       0,       0,   28396, -176051
       0,       0,   42987, -151050
       0,       0,   51808, -124818
       0,       0,   54778,  -98489
       0,       0,   52064,  -73216
       0,       0,   44027,  -50071
       0,       0,   31228,  -30067
       0,       0,   14414,  -14042
       0,       0,   -5536,   -2710
       0,       0,  -27598,    3411
       0,       0,  -50695,    4003
       0,       0,  -73696,   -1046
       0,       0,  -95465,  -11610
       0,       0, -114920,  -27374
       0,       0, -131047,  -47805
       0,       0, -142966,  -72192
       0,       0, -149936,  -99662
       0,       0, -151402, -129206
       0,       0, -146986, -159748
       0,       0, -136533, -190135
       0,       0, -120119, -219211
       0,       0,  -98036, -245849
       0,       0,  -70774, -268999
       0,       0,  -39021, -287707
       0,       0,   -3626, -301173
       0,       0,   34408, -308746
       0,       0,   74004, -309999
       0,       0,  113985, -304693
       0,       0,  153171, -292827
       0,       0,  190374, -274604
       0,       0,  224483, -250451
       0,       0,  254476, -220987
       0,       0,  279466, -187016
       0,       0,  298723, -149493
       0,       0,  311692, -109490
       0,       0,  318049,  -68160
       0,       0,  317676,  -26697
       0,       0,  310679,   13694
       0,       0,  297384,   51867
       0,       0,  278319,   86755
       0,       0,  254204,  117403
       0,       0,  225902,  142995
       0,       0,  194443,  162908
       0,       0,  160931,  176710
       0,       0,  126533,  184192
       0,       0,   92418,  185366
       0,       0,   59743,  180454
       0,       0,   29596,  169901
       0,       0,    2953,  154318
       0,       0,  -19333,  134522
       0,       0,  -36595,  111446
       0,       0,  -48338,   86152
       0,       0,  -54306,   59749
       0,       0,  -54418,   33377
       0,       0,  -48845,    8184
       0,       0,  -37955,  -14747
       0,       0,  -22313,  -34419
       0,       0,   -2678,  -49991
       0,       0,   20072,  -60742
       0,       0,   44907,  -66160
       0,       0,   70751,  -65925
       0,       0,   96456,  -59936
       0,       0,  120886,  -48311
       0,       0,  142948,  -31368
       0,       0,  161624,   -9648
       0,       0,  176039,   16142
       0,       0,  185436,   45120
       0,       0,  189270,   76280
       0,       0,  187142,  108539
       0,       0,  178902,  140739
       0,       0,  164610,  171729
       0,       0,  144569,  200367
       0,       0,  119264,  225608
       0,       0,   89373,  246492
       0,       0,   55738,  262219
       0,       0,   19358,  272133
       0,       0,  -18682,  275786
       0,       0,  -57212,  272949
       0,       0,  -95060,  263606
       0,       0, -131041,  247975
       0,       0, -164041,  226451
       0,       0, -193036,  199669
       0,       0, -217146,  168418
       0,       0, -235652,  133658
       0,       0, -247987,   96445
       0,       0, -253832,   57931
       0,       0, -253069,   19305
       0,       0, -245817,  -18233
       0,       0, -232389,  -53548
       0,       0, -213318,  -85573
       0,       0, -189319, -113363
       0,       0, -161262, -136108
       0,       0, -130166, -153184
       0,       0,  -97145, -164165
       0,       0,  -63361, -168852
       0,       0,  -29988, -167257
       0,       0,    1828, -159615
       0,       0,   30999, -146368
       0,       0,   56549, -128145
       0,       0,   77625, -105762
       0,       0,   93565,  -80148
       0,       0,  103879,  -52380
       0,       0,  108305,  -23562
       0,       0,  106769,    5145
       0,       0,   99447,   32609
       0,       0,   86712,   57727
       0,       0,   69129,   79506
       0,       0,   47456,   97089
       0,       0,   22589,  109766
       0,       0,   -4443,  117019
       0,       0,  -32558,  118518
       0,       0,  -60609,  114161
       0,       0,  -87460,  104060
       0,       0, -112007,   88535
       0,       0, -133238,   68120
       0,       0, -150256,   43525
       0,       0, -162309,   15629
       0,       0, -168831,  -14571
       0,       0, -169439,  -45992
       0,       0, -163967,  -77477
       0,       0, -152474, -107869
       0,       0, -135254, -136032
       0,       0, -112787, -160921
       0,       0,  -85749, -181581
       0,       0,  -54972, -197207
       0,       0,  -21455, -207143
       0,       0,   13725, -210951
       0,       0,   49407, -208396
       0,       0,   84423, -199457
       0,       0,  117594, -184348
       0,       0,  147810, -163475
       0,       0,  174054, -137472
       0,       0,  195445, -107117
       0,       0,  211268,  -73370
       0,       0,  220974,  -37287
       0,       0,  224243,     -16
       0,       0,  220964,   37255
       0,       0,  211253,   73337
       0,       0,  195435,  107084
       0,       0,  174044,  137439
       0,       0,  147800,  163447
       0,       0,  117573,  184315
       0,       0,   84397,  199423
       0,       0,   49381,  208351
       0,       0,   13699,  210900
       0,       0,  -21477,  207087
       0,       0,  -54994,  197146
       0,       0,  -85760,  181526
       0,       0, -112803,  160861
       0,       0, -135271,  135972
       0,       0, -152491,  107798
       0,       0, -163968,   77411
       0,       0, -169434,   45931
       0,       0, -168820,   14515
       0,       0, -162303,  -15690
       0,       0, -150250,  -43586
       0,       0, -133233,  -68171
       0,       0, -112002,  -88586
       0,       0,  -87455, -104110
       0,       0,  -60609, -114216
       0,       0,  -32553, -118578
       0,       0,   -4433, -117074
       0,       0,   22604, -109826
       0,       0,   47461,  -97139
       0,       0,   69124,  -79557
       0,       0,   86702,  -57767
       0,       0,   99442,  -32649
       0,       0,  106774,   -5190
       0,       0,  108310,   23517
       0,       0,  103884,   52336
