       X,       X
 -138576,  190528
 -149024,  159760
 -153424,  128832
 -151808,   98896
 -144656,   71104
 -132496,   46416
 -116032,   25760
  -96256,    9808
  -74112,    -864
  -50736,   -5952
  -27248,   -5344
   -4816,     912
   15472,   12400
   32592,   28672
   45616,   48992
   53856,   72448
   56704,   98096
   53792,  124800
   44944,  151424
   30224,  176800
    9968,  199824
  -15360,  219376
  -45088,  234560
  -78304,  244544
 -114064,  248704
 -151232,  246560
 -188672,  237920
 -225136,  222784
 -259504,  201344
 -290576,  174080
 -317376,  141568
 -338992,  104656
 -354704,   64320
 -363968,   21648
 -366416,  -22208
 -362000,  -66016
 -350800, -108560
 -333152, -148656
 -309616, -185264
 -280896, -217392
 -247920, -244208
 -211680, -265088
 -173360, -279600
 -134128, -287504
  -95168, -288848
  -57664, -283824
  -22720, -272896
    8656, -256704
   35600, -236032
   57408, -211888
   73632, -185264
   83920, -157360
   88256, -129296
   86736, -102208
   79792,  -77280
   67968,  -55440
   51952,  -37600
   32752,  -24448
   11328,  -16560
  -11232,  -14208
  -33776,  -17536
  -55152,  -26448
  -74256,  -40544
  -90080,  -59376
 -101712,  -82176
 -108432, -108080
 -109664, -136080
 -105040, -165088
  -94368, -193920
  -77744, -221424
  -55472, -246480
  -28064, -268000
    3840, -285056
   39328, -296784
   77424, -302608
  117008, -302016
  156896, -294832
  195904, -281040
  232848, -260816
  266576, -234656
  296032, -203152
  320384, -167120
  338864, -127536
  350912,  -85488
  356176,  -42160
  354608,    1264
  346256,   43552
  331472,   83520
  310800,  120112
  284944,  152368
  254816,  179424
  221408,  200672
  185920,  215664
  149488,  224192
  113280,  226272
   78528,  222112
   46272,  212160
   17536,  197056
   -6816,  177600
  -26096,  154784
  -39824,  129584
  -47712,  103216
  -49696,   76816
  -45920,   51472
  -36768,   28384
  -22848,    8496
   -4816,   -7312
   16304,  -18336
   39568,  -24032
   63872,  -24112
   88032,  -18432
  110944,   -7104
  131472,    9488
  148592,   30864
  161424,   56288
  169232,   84832
  171424,  115536
  167632,  147264
  157680,  178880
  141648,  209184
  119856,  237056
   92800,  261424
   61120,  281328
   25728,  295920
  -12384,  304608
  -52112,  306880
  -92304,  302544
 -131712,  291584
 -169168,  274176
 -203552,  250800
 -233792,  222048
